Unnamed: 0,review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes
148393,i will order again and again,5,105405*********183673,A Google user,2.50.21,2020-02-08T03:55:33.000Z,0
221181,ok,4,110703*********853256,A Google user,2.51.60,2020-06-30T10:32:55.000Z,0
643847,Awesome Apps ✌️👊🤘,5,113007*********605798,A Google user,2.87.40,2022-05-19T07:45:55.000Z,0
180661,I love shoppee,5,109721*********308403,A Google user,2.54.30,2020-05-06T22:42:37.000Z,0
595660,Can't delete my account.,1,117033*********762904,A Google user,,2022-02-05T03:48:37.000Z,0
348928,No hastle,5,114968*********560665,A Google user,,2020-12-16T15:09:06.000Z,0
674740,This app is super lag.,1,108873*********640085,A Google user,2.91.26,2022-08-07T10:28:12.000Z,0
95309,Shopee have responded well with my refund/request complain. Thanks a lot!,5,110588*********772396,A Google user,2.46.06,2019-11-13T05:37:18.000Z,1
551501,"Good quality ,good service..☺️☺️",1,112141*********896100,A Google user,,2021-11-19T03:34:33.000Z,0
534074,Very efficient shopping platform.. Thank you so much,5,104445*********351170,A Google user,2.78.20,2021-10-19T07:35:36.000Z,0
681511,Okay lang,2,101910*********442131,A Google user,2.92.23,2022-08-27T07:00:01.000Z,0
653271,Shipping fee is too high,1,103254*********771474,A Google user,2.88.23,2022-06-07T17:07:54.000Z,0
524045,So good,5,101322*********989884,A Google user,2.75.03,2021-10-01T04:49:50.000Z,0
273864,Satisfied,5,115404*********102628,A Google user,,2020-09-09T16:03:45.000Z,0
196028,Affordable prices,5,117026*********575809,A Google user,2.55.13,2020-05-26T08:08:07.000Z,0
8007,Very Helpful Apps,5,107396*********603133,A Google user,2.16.20,2017-11-16T01:07:38.000Z,0
134963,"I always check the reviews of the stores before i posti my order/s, so far I'm so grateful to this app. thank you so much ShoppePh😘❤️",5,106466*********657558,A Google user,2.49.15,2020-01-10T02:15:42.000Z,0
321228,Trip ko lang,1,108094*********614727,A Google user,,2020-11-15T04:13:07.000Z,0
467171,❤️❤️❤️,5,111517*********453032,A Google user,2.72.14,2021-06-23T11:27:00.000Z,0
448482,Quality products and fast shipping👌👍,4,105345*********563183,A Google user,2.71.16,2021-05-25T06:05:11.000Z,0
265276,Very excellent.,5,112891*********616434,A Google user,,2020-08-27T09:41:38.000Z,0
395637,Very nice,5,100641*********541291,A Google user,2.66.10,2021-02-26T04:36:09.000Z,0
227771,good job shoppe,5,107216*********982652,A Google user,2.57.10,2020-07-08T02:20:32.000Z,0
2767,Uhm it can help me to shop wisely,5,109951*********125655,A Google user,,2017-01-19T13:26:29.000Z,0
544017,Enjoyable,5,106662*********704480,A Google user,2.79.09,2021-11-08T06:12:01.000Z,0
437467,Nice apps...,5,108097*********005067,A Google user,,2021-05-06T07:14:43.000Z,0
329042,Very much dtisfactory.,5,102522*********343746,A Google user,2.60.30,2020-11-25T02:16:09.000Z,0
4933,this is so amazing try to get this app its has a lot of things that is you can afford,5,104312*********378060,A Google user,,2017-07-30T00:39:01.000Z,0
729366,Very nice,5,113761*********270851,A Google user,,2023-03-04T10:13:59.000Z,0
462236,Excellent quality Nj,5,102094*********387860,A Google user,2.72.11,2021-06-16T02:17:26.000Z,0
758653,"They have faulty system. Despite me being a loyal and honest customer, their vouchers got me banned. My account and devices were banned permanently. Their free shipping vouchers was the culprit. The free shipping voucher should auto apply or else the order shouldn't push through. If the order is done and there are many items in one checkout, the account will be banned eventually (next day). That's what happened to me. And their customer support sucks. You didn't also let me withdraw my refunds.",1,101034*********200616,A Google user,3.07.07,2023-08-19T00:30:56.000Z,24
281150,Great,5,117733*********513332,A Google user,2.60.12,2020-09-19T11:35:33.000Z,0
261482,Nice puta,5,100019*********872080,A Google user,2.59.40,2020-08-21T14:47:28.000Z,0
432271,Shopee is very very nice,5,101435*********115190,A Google user,2.69.21,2021-04-28T00:07:27.000Z,0
454558,I have problem with putting my username it wont work i am trying to use my name tjljis app has problem with signing in,1,105282*********536000,A Google user,,2021-06-06T12:13:54.000Z,0
416103,Best,5,101840*********793792,A Google user,,2021-03-31T13:56:43.000Z,0
50472,Nice,5,106849*********156524,A Google user,,2019-07-11T23:06:55.000Z,1
148580,Very reliable app for online buying..,5,112454*********907720,A Google user,2.50.21,2020-02-08T11:26:09.000Z,0
98732,Great app,5,118158*********050582,A Google user,2.46.06,2019-11-17T09:21:29.000Z,0
650295,"Getting worse as time passed by. Before you can use free shipping and any other discounts or cashbacks, now you can only choose one. Not to mention you almost always need to use shopeepay to use those vouchers and now theres an admin fee when you cash in your shopee wallet.",1,114414*********460180,A Google user,,2022-06-05T14:45:55.000Z,0
5345,nice apps,5,107541*********631579,A Google user,2.14.16,2017-08-19T07:19:44.000Z,0
397374,Yudiputa waran pulos an shopee,1,113029*********723848,A Google user,,2021-03-01T11:58:39.000Z,0
733153,The best app,5,110684*********315044,A Google user,2.78.41,2023-03-27T13:41:52.000Z,0
333448,Secure ☺,5,117879*********351475,A Google user,2.62.30,2020-11-30T14:07:21.000Z,0
666639,I can't received money to my gcash i transfer 248 shoppeepay to gcash but until now j can't received it!!,1,104930*********990694,A Google user,,2022-07-16T15:28:22.000Z,0
486135,so affordable...love this app😘,5,103745*********316291,A Google user,2.74.06,2021-07-24T08:52:31.000Z,0
225385,😍😍😍😍,4,100724*********072096,A Google user,2.56.22,2020-07-05T20:58:35.000Z,0
758920,"Issue in your app is always loading even my wifi or data connection is stable. One more problem is SPX, Standard Local, Standard International are no impovement at delivery at all, they are always deliver your order in a week, even the seller is near, 5 days is their faster, Its been 3 yrs since I use Shopee App and if the issues about this app is not solve, I'll stop using this shopee app even I always at platinum member",2,115875*********452883,A Google user,3.05.11,2023-08-20T01:18:34.000Z,1
436224,Its o,5,111601*********114311,A Google user,,2021-05-04T15:59:09.000Z,0
197815,excellent,5,106495*********433114,A Google user,2.55.13,2020-05-28T04:25:11.000Z,0
695272,no free shipping at all,1,109366*********550009,A Google user,2.93.17,2022-09-30T15:29:10.000Z,0
129595,I am having a great time shopping here.. 😊😊,5,115122*********053573,A Google user,2.46.06,2019-12-29T07:57:26.000Z,0
195599,Wonderful,5,106180*********532210,A Google user,,2020-05-25T22:53:53.000Z,0
239817,Most of my orders were shipped immidiately and in good condition.,5,105361*********630120,A Google user,2.49.15,2020-07-24T08:44:58.000Z,0
775981,No ne,1,114056*********315167,A Google user,,2023-10-21T10:42:57.000Z,0
95846,Exciting,5,118192*********543269,A Google user,2.46.06,2019-11-13T15:57:34.000Z,0
615307,👍 very good purchase talaga ung mga partner courier lang usually mey problema ee sana mabigyan ng aksyon ni shoppee yan,4,106077*********963279,A Google user,2.84.31,2022-03-16T06:03:57.000Z,0
563743,It's more fun in shopee,5,105441*********169310,A Google user,2.80.30,2021-12-12T14:08:49.000Z,0
233662,Salamat Shopee!,5,104490*********647821,A Google user,2.58.10,2020-07-15T14:17:34.000Z,0
29955,I hate the black arrow delivery boy. And I have problem with this app.. I can't order now😢 why's that??,3,109306*********251941,A Google user,2.30.12,2018-12-09T14:26:41.000Z,0
619968,"Sometimes satisfied, it depends of item, because good of the picture but actual is not really good.",4,113040*********115856,A Google user,,2022-03-24T10:14:14.000Z,0
19319,I like this,1,116453*********568393,A Google user,,2018-08-17T09:16:42.000Z,0
